Dòng theo dõi,Mã căn,File theo dõi T2,Sao kê đã phân bổ,Chênh lệch,Trạng thái,Tháng đã đóng đến hiện tại,Tổng số dư trên file theo dõi,Ghi chú file theo dõi
5,L1.102,2600000,0,-2600000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 12,3000000,
13,L1.110,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
22,L1.119,0,1500000,1500000,CO_SAO_KE_CHUA_GHI_THEO_DOI,hết tháng 9,2250000,
136,L2.115,0,250000,250000,CO_SAO_KE_CHUA_GHI_THEO_DOI,hết tháng 3,750000,
138,L2.117,0,250000,250000,CO_SAO_KE_CHUA_GHI_THEO_DOI,hết tháng 5,1250000,
226,L2.409,500000,250000,-250000,LECH_TIEN,hết tháng 5,1250000,
282,L3.106A,250000,0,-250000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 5,1250000,
287,L3.110,500000,0,-500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
315,L3.306B,0,1500000,1500000,CO_SAO_KE_CHUA_GHI_THEO_DOI,hết tháng 10,2500000,
388,L4A.132,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
394,L4A.202,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
403,L4A.211A,500000,0,-500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
459,L4A.331,250000,0,-250000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
509,L4A.510,250000,0,-250000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
538,L4B.106A,250000,0,-250000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
549,L4B.116,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 5,1250000,
552,L4B.119,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
555,L4B.122,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 7,1750000,
559,L4B.126,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
572,L4B.203,913730,0,-913730,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 5,1250000,
576,L4B.207,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 10,2500000,
622,L4B.317,500000,0,-500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 2,500000,
647,L4B.406B,1000000,0,-1000000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 5,1250000,
668,L4B.427,1000000,0,-1000000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
682,L4B.506A,0,1500000,1500000,CO_SAO_KE_CHUA_GHI_THEO_DOI,hết tháng 6,1500000,
730,L4C.120,500000,0,-500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 5,1250000,
740,L4C.130,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
758,L4C.211B,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1500000,
771,L4C.225,500000,0,-500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 2,500000,
799,L4C.317,0,1500000,1500000,CO_SAO_KE_CHUA_GHI_THEO_DOI,hết tháng 6,1500000,
817,L4C.335,1000000,0,-1000000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 4,1000000,
869,L4C.516,750000,0,-750000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 7.04,1760000,
902,LK1.43,1200000,3600000,2400000,LECH_TIEN,hết tháng 6,1200000,
913,LK2.14,1500000,0,-1500000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 9,1800000,
935,LKV.45,1200000,0,-1200000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1200000,
937,LKV.58,1200000,0,-1200000,CO_THEO_DOI_CHUA_THAY_SAO_KE,hết tháng 6,1200000,
